Hisseler,Unnamed: 1,Son,Değişim Yüzde,Hacim (TL),Saat,stock
HALKB T. HALK BANKASI,,2872,862,"2.422.720.542,36",15:51,HALKB
HATEK HATAY TEKSTIL,,1758,11,"24.490.885,62",15:51,HATEK
HDFGS HEDEF GIRISIM,,295,-167,"439.268.695,98",15:51,HDFGS
HEDEF HEDEF HOLDING,,3998,996,"409.423.995,64",15:44,HEDEF
HEKTS HEKTAS,,407,175,"668.917.536,55",15:51,HEKTS
HLGYO HALK GMYO,,399,364,"303.929.097,33",15:51,HLGYO
HTTBT HITIT BILGISAYAR,,5015,470,"41.914.951,15",15:50,HTTBT
HUBVC HUB GIRISIM,,289,176,"15.512.993,94",15:51,HUBVC
HUNER HUN YENILENEBILIR ENERJI,,395,102,"59.006.205,45",15:51,HUNER
HURGZ HURRIYET GZT.,,775,-77,"43.465.512,59",15:51,HURGZ
ICBCT ICBC TURKEY BANK,,1788,-6,"49.269.865,34",15:51,ICBCT
IDGYO IDEALIST GMYO,,400,-196,"7.817.648,06",15:51,IDGYO
IEYHO ISIKLAR ENERJI YAPI HOL.,,2466,566,"2.162.273.263,50",15:51,IEYHO
IHAAS IHLAS HABER AJANSI,,3916,26,"53.110.325,50",15:51,IHAAS
IHLGM IHLAS GAYRIMENKUL,,313,364,"329.366.629,95",15:51,IHLGM
INDES INDEKS BILGISAYAR,,839,244,"36.261.694,96",15:51,INDES
INFO INFO YATIRIM,,389,291,"78.888.292,49",15:51,INFO
INTEK INNOSA TEKNOLOJI,,37275,-191,"5.973.196,25",13:55,INTEK
INVEO INVEO YATIRIM HOLDING,,1178,-109,"86.258.484,64",15:51,INVEO
INVES INVESTCO HOLDING,,48525,-997,"10.757.022,00",15:50,INVES
IPEKE IPEK DOGAL ENERJI,,7180,559,"403.230.509,40",15:51,IPEKE
ISATR IS BANKASI (A),,000,0,000,18:10,ISATR
ISBIR ISBIR HOLDING,,11990,-172,"2.897.074,20",13:55,ISBIR
ISBTR IS BANKASI (B),,"670.550,00",1000,"9.260.040,00",13:55,ISBTR
ISCTR IS BANKASI (C),,1529,146,"5.789.070.520,12",15:51,ISCTR
ISFIN IS FIN.KIR.,,1768,97,"42.637.125,48",15:51,ISFIN
ISGSY IS GIRISIM,,8490,-24,"49.259.839,90",15:51,ISGSY
ISGYO IS GMYO,,2004,55,"47.079.778,66",15:51,ISGYO
ISKPL ISIK PLASTIK,,713,394,"66.510.252,23",15:51,ISKPL
ISKUR IS BANKASI (KUR.),,000,0,000,18:10,ISKUR
ISMEN IS Y. MEN. DEG.,,4600,286,"333.407.963,62",15:51,ISMEN
ISYAT IS YAT. ORT.,,984,-209,"27.302.517,35",15:51,ISYAT
IZENR IZDEMIR ENERJI,,962,491,"322.219.151,89",15:51,IZENR
IZMDC IZMIR DEMIR CELIK,,771,-228,"125.345.541,50",15:51,IZMDC
KAPLM KAPLAMIN,,52700,996,"167.147.732,00",15:48,KAPLM
KAREL KAREL ELEKTRONIK,,1010,-98,"97.804.306,85",15:51,KAREL
KARTN KARTONSAN,,9030,135,"30.306.665,00",15:51,KARTN
KAYSE KAYSERI SEKER FABRIKASI,,2022,120,"64.800.913,98",15:50,KAYSE
KBORU KUZEY BORU,,1662,-107,"174.009.653,38",15:51,KBORU
KCHOL KOC HOLDING,,18560,114,"5.067.906.792,80",15:51,KCHOL
KENT KENT GIDA,,87000,0,"3.008.460,00",13:55,KENT
KERVN KERVANSARAY YAT. HOLDING,,286,178,"2.174.375,06",13:55,KERVN
KFEIN KAFEIN YAZILIM,,1034,58,"30.492.590,78",15:51,KFEIN
KGYO KORAY GMYO,,340,-29,"24.268.725,16",15:50,KGYO
KLGYO KILER GMYO,,645,-344,"147.884.587,00",15:51,KLGYO
KLKIM KALEKIM KIMYEVI MADDELER,,3766,140,"90.842.239,74",15:51,KLKIM
KLMSN KLIMASAN KLIMA,,4618,795,"66.964.215,14",15:51,KLMSN
KLNMA T. KALKINMA BANK.,,1253,187,"2.417.746,32",13:55,KLNMA
KLRHO KILER HOLDING,,11960,612,"1.344.976.015,40",15:51,KLRHO
KLSER KALESERAMIK,,3320,-12,"47.259.042,58",15:51,KLSER
KLYPV KALYON GUNES TEKNOLOJILERI,,6550,77,"48.079.876,40",15:51,KLYPV
KORDS KORDSA TEKNIK TEKSTIL,,6520,-23,"62.848.892,60",15:51,KORDS
KOZAA KOZA MADENCILIK,,8820,782,"875.865.922,15",15:51,KOZAA
KOZAL KOZA ALTIN,,2642,551,"2.807.361.728,82",15:51,KOZAL
KRTEK KARSU TEKSTIL,,3216,69,"22.789.620,08",15:48,KRTEK
KSTUR KUSTUR KUSADASI TURIZM,,"3.880,00",104,"2.458.880,00",13:55,KSTUR
KTSKR KUTAHYA SEKER FABRIKASI,,8710,513,"195.108.272,00",15:51,KTSKR
KUVVA KUVVA GIDA,,13770,-94,"1.413.875,00",13:55,KUVVA
KZGYO KUZUGRUP GMYO,,2474,57,"19.527.751,60",15:51,KZGYO
LIDER LDR TURIZM,,30800,90,"36.513.863,25",15:51,LIDER
LIDFA LIDER FAKTORING,,405,125,"38.614.202,59",15:51,LIDFA
LILAK LILA KAGIT,,3100,137,"107.719.360,38",15:51,LILAK
LINK LINK BILGISAYAR,,69850,-85,"55.302.417,00",15:50,LINK
LYDHO LYDIA HOLDING,,14250,379,"196.747.590,40",15:51,LYDHO
