stock,Onay,Hisse Adı,Sektör,id,Halka Arz Tarihi,İlk İşlem Tarihi
GZNMI,Katılım Endeksine Uygun Değildir,Gezinomi Seyahat,Turizm,134070221,2022-03-08,2022-03-08
HALKB,Katılım Endeksine Uygun Değildir,Halkbank,Bankacılık,6499676,2007-05-03,2007-05-10
HATEK,Katılım Endeksine Uygun Değildir,Hateks Hatay Tekstil,Tekstil Entegre,64308046,2011-02-11,
HATSN,Katılım Endeksine Uygundur,Hat-San,Ulaştırma-Lojistik,159194898,2023-09-22,2023-09-22
HDFGS,Katılım Endeksine Uygun Değildir,Hedef Girişim Sermayesi,Yatırım Ortaklıkları,120972372,2015-01-23,2015-02-03
HEDEF,Katılım Endeksine Uygun Değildir,Hedef Holding,Holdingler,128249960,2021-10-15,
HEKTS,Katılım Endeksine Uygun Değildir,Hektaş,Tarım Kimyasalları,9938345,1986-01-13,1986-01-13
HKTM,Katılım Endeksine Uygundur,Hidropar,Endüstriyel Makine -Teçhizat Üretim,142487918,2022-08-12,
HLGYO,Katılım Endeksine Uygun Değildir,Halk GYO,GYO,12659732,2013-02-15,
HOROZ,Katılım Endeksine Uygundur,Horoz Lojistik,Ulaştırma-Lojistik,170935600,,2024-06-07
HRKET,Katılım Endeksine Uygundur,Hareket Proje,Endüstriyel Makine -Teçhizat Üretim,170231800,,2024-05-23
HTTBT,Katılım Endeksine Uygun Değildir,Hitit Bilgisayar,Bilgisayar Toptancılığı,134070220,2022-02-25,
HUBVC,Katılım Endeksine Uygun Değildir,Hub Girişim Ser. Y.O.,Yatırım Ortaklıkları,64305884,,2006-12-08
HUNER,Katılım Endeksine Uygun Değildir,Hun Enerji,Elektrik Üretim,133509681,2022-02-21,2022-02-21
HURGZ,Katılım Endeksine Uygun Değildir,Hürriyet,Medya,64303359,1992-02-25,1992-02-25
ICBCT,Katılım Endeksine Uygun Değildir,ICBC Turkey Bank,Bankacılık,64303269,1990-05-23,1990-05-23
ICUGS,Katılım Endeksine Uygun Değildir,Icu Girişim Ser. Y.O.,Yatırım Ortaklıkları,64304009,2000-07-05,2000-07-05
IDGYO,Katılım Endeksine Uygundur,İdealist GYO,GYO,64307863,2010-06-24,2010-07-01
IEYHO,Katılım Endeksine Uygun Değildir,Işıklar Enerji ve Yapı Holding,Holdingler,64303186,1998-08-06,1998-08-13
IHAAS,Katılım Endeksine Uygun Değildir,İhlas Haber Ajansı,Medya,128645059,2021-10-27,2021-11-03
IHEVA,Katılım Endeksine Uygundur,İhlas Ev Aletleri,Dayanıklı Tüketim,64303692,1996-09-26,1996-09-26
IHGZT,Katılım Endeksine Uygun Değildir,İhlas Gazetecilik,Medya,64307844,2010-06-04,2010-06-14
IHLAS,Katılım Endeksine Uygundur,İhlas Holding,Holdingler,64303693,1994-12-07,
IHLGM,Katılım Endeksine Uygundur,İhlas Gayrimenkul,GYO,64303208,1989-12-01,
IHYAY,Katılım Endeksine Uygundur,İhlas Yayın Holding,Medya,64307974,2010-10-26,2010-11-05
IMASM,Katılım Endeksine Uygundur,İmaş Makine,Endüstriyel Makine -Teçhizat Üretim,136829377,2022-04-29,
INDES,Katılım Endeksine Uygun Değildir,İndeks Bilgisayar,Bilgisayar Toptancılığı,6500605,2004-06-17,2004-06-24
INFO,Katılım Endeksine Uygun Değildir,İnfo Yatırım,Aracı Kurumlar,64308311,2011-10-04,2011-10-11
INGRM,Katılım Endeksine Uygun Değildir,İngram Bilişim,Bilgisayar Toptancılığı,64305333,,2006-06-15
INTEK,Katılım Endeksine Uygun Değildir,Innosa Teknoloji,Teknoloji,120969731,2012-07-09,
INTEM,Katılım Endeksine Uygundur,İntema,İnşaat Malzemeleri,64303052,1990-03-16,1990-03-16
INVEO,Katılım Endeksine Uygun Değildir,İnveo Yatırım Holding,Holdingler,64304020,1999-04-13,1999-04-16
INVES,Katılım Endeksine Uygun Değildir,Investco Holding,Holdingler,134161490,2022-03-01,2022-03-01
IPEKE,Katılım Endeksine Uygun Değildir,İpek Enerji,Elektrik Üretim,64304019,2000-06-27,2000-06-27
ISATR,Katılım Endeksine Uygun Değildir,İş Bankası (A),Bankacılık,10439764,1986-01-08,1998-05-07
ISBIR,Katılım Endeksine Uygun Değildir,İşbir Holding,Holdingler,120969819,,2012-10-23
ISBTR,Katılım Endeksine Uygun Değildir,İş Bankası (B),Bankacılık,120961746,1986-01-08,1998-05-07
ISCTR,Katılım Endeksine Uygun Değildir,İş Bankası (C),Bankacılık,6491730,1986-01-08,1998-05-07
ISDMR,Katılım Endeksine Uygundur,İskenderun Demir Çelik,Demir-Çelik Temel,47006627,,2016-03-28
ISFIN,Katılım Endeksine Uygun Değildir,İş Finansal Kiralama,Fin.Kiralama ve Faktoring,64304014,2000-03-21,2000-03-24
ISGSY,Katılım Endeksine Uygun Değildir,İş Girişim,Yatırım Ortaklıkları,64304817,2004-10-14,
ISGYO,Katılım Endeksine Uygun Değildir,İş GYO,GYO,6491725,1999-12-01,
ISKPL,Katılım Endeksine Uygun Değildir,Işıklar Plastik,Kimyasal Ürün,120976883,2021-01-21,
ISKUR,Katılım Endeksine Uygun Değildir,İş Bankası Kurucu,Bankacılık,120961842,,1998-05-07
ISMEN,Katılım Endeksine Uygun Değildir,İş Yatırım,Aracı Kurumlar,6500771,2007-05-11,2007-05-18
ISSEN,Katılım Endeksine Uygundur,İşbir Sentetik,Tekstil Entegre,111960910,2021-11-12,2021-11-18
ISYAT,Katılım Endeksine Uygun Değildir,İs YO,Yatırım Ortaklıkları,64303694,1996-04-01,1996-04-15
